bodyPart,equipment,gifUrl,id,name,target
waist,body weight,https://gymvisual.com/img/p/4/7/3/1/4731.gif,1,3/4 sit-up,abs
waist,body weight,https://gymvisual.com/img/p/3/2/4/0/6/32406.gif,3,air bike,abs
upper legs,body weight,https://gymvisual.com/img/p/2/1/7/4/6/21746.gif,1512,all fours squad stretch,quads
waist,body weight,https://gymvisual.com/img/p/1/7/3/2/0/17320.gif,6,alternate heel touchers,abs
back,cable,https://gymvisual.com/img/p/4/7/3/8/4738.gif,7,alternate lateral pulldown,lats
lower legs,body weight,https://gymvisual.com/img/p/2/1/5/1/8/21518.gif,1368,ankle circles,calves
waist,body weight,https://gymvisual.com/img/p/1/0/2/8/4/10284.gif,2355,arm slingers hanging bent knee legs,abs
waist,body weight,https://gymvisual.com/img/p/1/0/1/6/5/10165.gif,2333,arm slingers hanging straight legs,abs
upper legs,body weight,https://gymvisual.com/img/p/1/2/9/3/8/12938.gif,3214,arms apart circular toe touch (male),glutes
waist,body weight,https://gymvisual.com/img/p/1/2/9/2/8/12928.gif,3204,arms overhead full sit-up (male),abs
chest,leverage machine,https://gymvisual.com/img/p/1/0/7/0/1/10701.gif,9,assisted chest dip (kneeling),pectorals
waist,assisted,https://gymvisual.com/img/p/4/7/4/1/4741.gif,11,assisted hanging knee raise,abs
waist,assisted,https://gymvisual.com/img/p/4/7/4/1/4741.gif,10,assisted hanging knee raise with throw down,abs
upper legs,assisted,https://gymvisual.com/img/p/7/4/2/5/7425.gif,1710,assisted lying gluteus and piriformis stretch,glutes
waist,assisted,https://gymvisual.com/img/p/4/7/4/3/4743.gif,12,assisted lying leg raise with lateral throw down,abs
waist,assisted,https://gymvisual.com/img/p/4/7/4/4/4744.gif,13,assisted lying leg raise with throw down,abs
waist,medicine ball,https://gymvisual.com/img/p/4/7/4/5/4745.gif,14,assisted motion russian twist,abs
upper legs,assisted,https://gymvisual.com/img/p/4/7/4/7/4747.gif,16,assisted prone hamstring,hamstrings
waist,assisted,https://gymvisual.com/img/p/7/4/2/8/7428.gif,1714,assisted prone rectus femoris stretch,abs
back,leverage machine,https://gymvisual.com/img/p/1/8/4/0/4/18404.gif,17,assisted pull-up,lats
chest,assisted,https://gymvisual.com/img/p/7/4/2/9/7429.gif,1716,assisted seated pectoralis major stretch with stability ball,pectorals
upper legs,assisted,https://gymvisual.com/img/p/7/4/2/6/7426.gif,1712,assisted side lying adductor stretch,adductors
waist,assisted,https://gymvisual.com/img/p/7/5/6/5/7565.gif,1758,assisted sit-up,abs
